,name,price,deskripsi,isi_deksripsi
0,Sensitif Vivo Ultra Thin 3 Pieces,Rp14.900,Deskripsi**Indikasi Umum**Komposisi**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Sensitif Vivo Ultra Thin merupakan alat kontrasepsi yang digunakan oleh pria saat berhubungan intim.**Alat kontrasepsi yang digunakan oleh pasangan untuk merencanakan program keluarga.**Latex**Digunakan pada organ vital pria sebelum melakukan hubungan.**Alat Kontrasepsi ini tidak memberikan proteksi 100% pada kehamilan, infeksi HIV, dan penyakit menular seksual. Hanya digunakan untuk 1 kali pakai.**Alat Kesehatan & Medis Habis Pakai**Pack @ 3 pieces**Steril Medica Indonesia**Kemenkes RI: AKL21105310933"
1,Sensitif Vivo Vibe Little Bunny Blue,Rp119.900 - Rp121.700,Deskripsi**Perhatian**Golongan Produk**Kemasan**Manufaktur,"Alat getar yang menyerupai bentuk peluru panjang. Berwarna hitam dengan material yang lembut . Mampu memberikan sensasi lebih dan meningkatkan sensitifitas pada wanita. Getaran lembutnya di-desain untuk meningkatkan stimulasi.**Hanya untuk pemakaian luar saja. Size s (Panjang 5.85 cm, Diameter 1.7 cm)**Alat Kesehatan & Medis Habis Pakai**Box @ 1 Pieces**Danpac Pharma"
2,Sensitif Vivo Vibe Mini Bullet,Rp89.600,Golongan Produk**Kemasan**Manufaktur,Alat Kesehatan & Medis Habis Pakai**Box @ 1 Pieces**Danpac Pharma
3,Sutra Tisu Plus 3 Sachet,Rp8.200,Deskripsi**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"Sutra Tisu Plus adalah tisu antiseptic khusus Pria dewasa. Selain dapat membersihkan, juga mengandung lubrikan khusus yang dapat meningkatkan stamina menjadi lebih tahan lama.**Untuk pemakaian luar saja. Jika terjadi iritasi atau alergi segera hentikan pemakaian. Jauhkan dari jangkauan anak-anak**Alat Kesehatan & Medis Habis Pakai**Dus @ 3 Sachet**DKT International**Kemenkes RI: PKD10104120154"
4,Tissue Lovers for Man 6 Sachet,Rp12.800 - Rp14.100,Deskripsi**Indikasi Umum**Komposisi**Aturan Pakai**Perhatian**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"TISSUE LOVERS FOR MAN merupakan tisu basah menyegarkan dan membersihkan kulit daerah sensitif dengan efektif.**Produk ini digunakan untuk menyegarkan dan membersihkan kulit daerah sensitif dengan efektif.**Alcohol, Benzalkonium chloride, Triclosan, Cocomidopropyl, Betaine, PEG-78, Glyceryl cocoate, Purified water**Usapkan tisu pada daerah sensitif, biarkan 5-15 menit. Setelah itu, cuci dengan sabun dan bilas dengan air hangat.**Hanya untuk pemakaian luar. Jika terjadi iritasi atau alergi segera hentikan pemakaian.**Alat Kesehatan & Medis Habis Pakai**Dus @ 6 Pieces**Dua Lima Industries**Kemenkes RI: PKD20501800032"
5,Vigel 2in1 125 gr,Rp64.300,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"VIGEL 2 IN 1 merupakan lubricating gel yang digunakan sebagai tambahan pelicin kondom maupun vagina. Gel ini tidak berwarna, tidak berbau dan tidak berminyak. Terbuat dari bahan dasar air sehingga mudah dibilas.**Dapat digunakan sebagai pelicin pada organ intim dan kondom, dapat digubakan juga untuk aktivitas pijat (massage).**Aqua Water Propylene Glycol Hydroxyethyl Cellulose Aloe Barbadensis Extract Methylparaben**Gunakan sesuai kebutuhan**Gunakan sesuai kebutuhan pada organ intim, tambahkan bila perlu. Pada penggunaan kondom, oleskan Vigel 2in1 di luar kondom setelah dipakai. Untuk pemijatan, gunakan gel secukupnya selama pemijatan, tambahkan bila perlu.**VIGEL 2in1 bukan alat kontrasepsi. Hindari kontak dengan mata. Jika terjadi iritasi, hentikan penggunaan produk ini. Jika terjadi iritasi berkelanjutan, hubungi dokter. Jauhkan dari jangkauan anak-anak.**-**-**Alat Kesehatan & Medis Habis Pakai**Tube 125 G**Konimex**Kemenkes RI: AKD21104510034"
6,Vigel Gel 60 g,Rp31.900 - Rp35.100,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"VIGEL GEL Merupakan gel pengganti cairan alami yang digunakan sebagai tambahan pelicin kondom maupun vagina yang tidak berwarna dan tidak berbau, larut dalam air dan tidak berminyak.**Menyerupai pelembab alami, tidak berwarna dan tidak berbau, larut dalam air dan tidak berminyak, dapat digunakan sebagai pelicin pada ginekologigi dan pembedahan**Gel berbasis air yang mudah dibilas**Gunakan sesuai kebutuhan**gunakan pada saat behubungan intim**Hindari kontak dengan mata.Jika terjadi iritasi, hentikan penggunaan produk ini. Jika terjadi iritasi berkelanjutan, hubungi dokter.Jauhkan dari jangkauan anak-anak.**hipersensitivitas**reaksi alergi, iritasi**Alat Kesehatan & Medis Habis Pakai**Tube @ 60 ml**Konimex**Kemenkes RI: AKD20903310112"
7,Billy Boy Endurance 3 Pieces,Rp19.800,Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Sesuai kebutuhan**Alat Kesehatan & Medis Habis Pakai**Pack Isi 3 Pcs**MAPA Gmbh**Kemenkes RI : AKL21104510589
8,Billy Boy Extra Thin 10 Pieces,Rp63.500 - Rp73.100,Dosis**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Sesuai kebutuhan**Alat Kesehatan & Medis Habis Pakai**Pack Isi 10 Pcs**MAPA Gmbh**Kemenkes RI : AKL21104510310
9,Billy Boy Fun Selection 10 Pieces,Rp68.900 - Rp65.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Perhatian**Kontra Indikasi**Efek Samping**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"-**Alat Kontrasepsi.**Karet Latex alami.**Sesuai kebutuhan**Buka kemasan. Kenakan pada alat kemaluan sebelum melakukan hubungan intim**Kemasan yang sudah di buka, harus segera di pakai. Hanya untuk satu kali pemakaian. Hindari benda tajam.**-**-**Alat Kesehatan & Medis Habis Pakai**1 pack isi 10**MAPA Gmbh**Kemenkes RI: AKL21104510826"
10,Durex K-Y Jelly Personal Lubricant 100 g,Rp96.900,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"K-Y JELLY adalah lubrikan dengan bahan dasar air yang digunakan untuk memberikan pelumas dan sensasi saat berhubungan seksual**Sebagai lubricant**Water,glycerin, gluconalactone, sodium hidroxide, chlorhexidine, digluconate, methylparaben, hydroetilselulosa**Gunakan sesuai kebutuhan**Dioleskan pada alat kelamin pria**Alat Kesehatan & Medis Habis Pakai**Tube 100 Gram Gel**Reckitt Benckiser**Kemenkes RI: AKL21104714815"
