,name,price,deskripsi,isi_deksripsi
0,Emina Loose Powder Bare with Me Mineral 04 Ebony,Rp57.900,Golongan Produk**Kemasan**Manufaktur,Produk Konsumen**Pot**Paragon Technology and Innovation
1,Emina Moisturizing Gel Ms Pimple Acne Solution,Rp22.000 - Rp29.700,Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Sebagai pelembap untuk kulit berjerawat serta membantu melawan pertumbuhan bakteri penyebab jerawat dan mengurangi kemerahan**Produk Konsumen**Tube**Paragon Technology and Innovation**BPOM: NA18180103234
2,Emina Pressed Blush Cheeklit Bittersweet,Rp36.300 - Rp41.500,Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Sebagai perona pipi dengan hasil yang halus dan tidak berminyak**Produk Konsumen**Pot**Paragon Technology and Innovation**BPOM: NA18151202245
3,Emina Pressed Blush Cheeklit Cherry Blossoms,Rp37.300 - Rp54.300,Indikasi Umum**Golongan Produk**Kemasan**Manufaktur,Sebagai perona pipi dengan hasil yang halus dan tidak berminyak**Produk Konsumen**Pot**Paragon Technology and Innovation
4,Emina Pressed Blush Cheeklit Marshmallow Lady,Rp30.300 - Rp45.600,Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Sebagai perona pipi dengan hasil yang halus dan tidak berminyak**Produk Konsumen**Pot**Paragon Technology and Innovation**BPOM: NA18151202358
5,Emina Skin Buddy Face Toner 100 ml,Rp26.200 - Rp35.200,Deskripsi**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Emina Skin Buddy Face Toner merupakan toner dengan pH balance bertekstur ringan dan tidak lengket serta sangat cepat menyerap ke dalam kulit. Diformulasikan dengan ekstrak calendula dan hyaluronic Acid yang memberikan efek menenangkan dan hidrasi yang tahan lama. Rasakan sensasi lembut dan segar di kulitmu**Produk Konsumen**Botol 100 ML**Paragon Technology and Innovation**BPOM: NA18201203816
6,Emina Sun Protection SPF 30 60 ml,Rp21.700 - Rp37.200,Indikasi Umum**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,Membantu melindungi kulit dari paparan sinar matahari.**Produk Konsumen**Tube**Paragon Technology and Innovation**BPOM: NA18211700809
7,Erha Acneact Acne Sun Friendly 30 g,Rp99.000 - Rp116.000,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"ERHA ACNEACT ACNE SUN FRIENDLY merupakan broad spectrum sunscreen yang akan melindungi kulit dari sinar UVB dan UVA pada kulit berminyak dan cenderung berjerawat bersifat NON COMEDOGENIC dan NON ACNEGENIC, sehingga tidak merangsang timbulnya komedo dan jerawat. Acne Sun Friendly nyaman untuk digunakan sehari-hari karena memiliki formula yang terasa ringan, tidak lengket dan tidak menyebabkan wajah terlihat putih seperti topeng ketika digunakan.**Broad spectrum sunscreen yang akan melindungi kulit dari sinar UVB dan UVA pada kulit berminyak dan cenderung berjerawat.**Broad Spectrum Sunscreen: SPF 30 dan PA+++, sebagai perlindungan terhadap sinar UVB dan UVA. Zinc Gluconate dan Niacinamide sebagai untuk oil control dan anti acne untuk mengontrol produksi sebum, dan mencegah timbulnya jerawat.**Sesuai kebutuhan.**Usapkan AcneAct Sun Friendly secara merata pada seluruh wajah sebelum melakukan aktivitas di luar ruangan setiap hari.**Produk Konsumen**Tube @ 30 g**Genero Pharmaceutical**BPOM: NA18201700638"
8,Erha Acneact Blemish Soothing Serum 30 ml,Rp131.000 - Rp146.800,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"ERHA Acneact Blemish Soothing Serum merupakan Serum yang diformulasikan khusus untuk menenangkan kemerahan pada kulit kering dan sensitif dengan kondisi berjerawat.**Serum yang membantu melawan bakteri penyebab jerawat, meredakan kemerahan dan membantu meningkatkan pertahanan kulit dengan menjaga keseimbangan mikrobioma kulit.**Cica&Prebiotic**Sesuai Kebutuhan**Aplikasikan pada seluruh kulit wajah, tepuk perlahan hingga serum terserap. Dapat digunakan pagi dan malam hari**Produk Konsumen**Botol @ 30 ml**Genero Pharmaceutical**BPOM: NA18210104890"
9,Erha Truwhite Active Glow 15 ml,Rp171.600 - Rp225.500,Deskripsi**Indikasi Umum**Komposisi**Dosis**Aturan Pakai**Golongan Produk**Kemasan**Manufaktur**No. Registrasi,"ERHA TRUWHITE ACTIVE GLOW mengandung kombinasi dual brightening agents yaitu Tranexamic Acid dan Hexyl Resorcinol yang akan bekerja dengan mekanisme berbeda untuk membantu mencerahkan dan menyamarkan flek hitam pada wajah. Tranexamic Acid 3%, konsentrasi tertinggi yang diperbolehkan dalam sediaan kosmetik, memiliki efek untuk menyamarkan hiperpigmentasi dan kemerahan pada kulit agar flek hitam tersamarkan. Sedangkan Hexyl Resorcinol merupakan bahan yang secara natural diperoleh di gandum, memiliki efek mencerahkan dengan menghambat pembentukan pigmen gelap pada kulit. Direkomendasikan untuk kombinasi dengan Truwhite Brightening Serum.**Produk yang akan membantu mencerahkan dan menyamarkan flek hitam pada wajah.**1. Tranexamic Acid 3%, konsentrasi tertinggi yang diperbolehkan dalam sediaan kosmetik, memiliki efek untuk menyamarkan hiperpigmentasi dan kemerahan pada kulit agar flek hitam tersamarkan. 2. Hexyl Resorcinol merupakan bahan yang secara natural diperoleh di gandum, memiliki efek mencerahkan dengan menghambat pembentukan pigmen gelap pada kulit.**Sehari 2 kali, yaitu pada pagi dan malam hari**Terdapat 2 alternatif cara penggunaan: Mix: Campurkan 2-3 tetes produk pada serum/pelembap yang digunakan sehari-hari. Layer: Aplikasikan 2-3 tetes produk pada kulit sebelum menggunakan serum/pelembap.**Produk Konsumen**Botol @ 15 ml**Genero Pharmaceutical**BPOM: NA18201901150"
